Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Afghanistan,AFG,5364.48,5606.798,5671.378,5715.825,5927.873,6249.03,7039.073,7710.343,8219.445,8988.018,7712.14,6421.688,8192.428,8426.638,8342.655,8496.705,8651.66,8796.81,9801.983,9993.155,11514.53,11533.25,11379.28,11284.75,11476.2,10851.11,10633.3,10327.93,10543.38,10918.7
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Albania,ALB,2202.93,2231.07,2217.068,2362.85,3018.578,3086.348,2912.328,2707.853,2567.838,2636.553,2682.518,2620.19,2550.873,2584.023,2485.38,2468.37,2423.92,2301.965,2138.04,2031.85,2043.953,2031.783,2072.26,2071.065,2095.328,2108.513,2099.03,2053.535,2009.613,1847.123
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Algeria,DZA,4357.728,4175.813,4367.16,4446.038,4267.088,4280.508,4305.528,4300.358,4535.045,4748.298,4756.335,4804.698,4645.108,4801.585,5017.12,5053.203,5191.088,5293.07,5220.133,5526.853,5823.725,6017.78,6345.36,6561.753,6939.363,7036.043,6974.64,6878.45,6816.103,6893.988
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Angola,AGO,15036.78,15087.74,15147.21,15073.75,15100.55,15005.17,13680.57,13555.25,14983.59,13952.3,14393.43,14680.38,15703.63,17806.34,17831.65,17722.93,16430.24,17494.63,16669.32,16732.8,17504.36,18023.29,17172.98,17636.29,17060.21,17714.4,17704.24,17999.32,16218.24,18047.24
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Antigua and Barbuda,ATG,29.385,30.77,30.778,31.145,31.603,31.713,29.948,29.715,29.363,29.995,29.613,30.458,30.935,31.373,32.013,32.013,32.148,31.285,31.208,31.033,15.018,15.143,15.143,15.095,15.138,15.153,15.098,15.145,14.485,12.595
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Argentina,ARG,84684.18,83654.83,84627.13,83274.65,83904.13,83240.93,80600.4,79841.7,77140.18,79228.53,79490.05,78841.53,81921.4,88151.18,89155.3,89142.38,91136.4,91773.78,90564.23,85581.7,77640.18,76878.93,79415.3,80963.48,81731.45,81556.83,82832.93,86592.7,85432.8,84990.45
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Armenia,ARM,812.652,796.787,705.965,628.77,619.963,611.71,610.18,608.705,557.968,564.37,570.263,589.998,613.028,636.715,669.215,671.133,691,720.005,727.125,667.768,662.708,650.328,684.44,756.913,776.89,792.148,809.735,758.14,683.265,662.683
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
