Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Afghanistan,AFG,281.585,242.223,202.761,163.398,124.036,84.673,85.605,86.536,87.467,88.398,89.329,83.181,77.032,70.883,64.735,58.586,281.676,504.866,727.956,951.146,1174.236,1375.843,1577.35,1778.756,1980.263,2181.769,2193.96,2206.051,2218.342,2230.533
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Albania,ALB,481.725,402.531,325.738,256.444,188.65,119.456,114.162,106.267,100.973,75.178,72.884,72.962,92.24,66.019,87.597,87.175,86.359,79.643,76.927,76.811,74.595,73.579,71.663,70.147,68.732,71.616,64.116,60.815,61.415,59.815
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Algeria,DZA,43681.3,44589.2,44801,47758.8,48732.9,52200.7,54656.8,55635.3,56081.7,57740.3,60311.6,57694.5,59520,65454.4,65701,68535.7,69555.4,68748.1,68932,65200.9,65134.7,63200.7,67032.3,66393.5,69554.8,69550.7,72730,72462.2,73772.8,71379.9
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Angola,AGO,5754.4,5962.5,6342.7,7030.7,7895.2,9724.4,11193.3,11595,12350,12569.6,12104.5,11765.5,12191.6,12152.8,12954.4,14474.9,15222.4,16866.9,18727.4,17759.9,18328.5,17508.5,17453,16939.3,16615.2,18130.8,18416.5,18270,16384.9,15599.1
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Argentina,ARG,14609.9,14533.9,15279,15286.7,15377,17006.3,17880.8,18557.4,19308.1,20191,20858.9,21424.4,21334.4,22480.5,23060.3,22276.4,22273.6,21627.8,21943.6,20466.3,20065,19822.6,20442.1,20239.6,20353.5,20690,20711.6,20612.1,21463.7,22873.3
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Armenia,ARM,2118.45,1939.375,1753.6,1579.425,1429.65,1282.875,1137.9,996.025,853.55,710.575,572.9,595.417,620.633,645.75,666.667,692.883,717.3,760.575,792.85,814.725,846.9,871.484,895.868,915.352,949.036,988.82,992.515,991.21,981.004,978.299
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Australia,AUS,15752.4,16541.8,17064.6,17641.1,17620.7,18765.3,19047.4,20053.1,21432.3,21472.3,23175.2,24467,24885.3,24928.3,25139.4,26050.6,26690.7,28266.2,28446.8,29077,31779.6,30836,31631.5,33850.1,36188.9,37895.8,38706.3,40389,40706.2,43356
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Austria,AUT,1464.772,1409.459,1375.115,1325.726,1141.423,1170.719,1201.228,1125.784,1107.297,1128.032,1090,1128.778,1090,1092.278,1051.8,1034.876,1075.13,1080,1077.856,1092.601,1189.174,1139.907,1180.604,1188.094,1091.043,1125.421,1136.625,1146.797,1087.768,1093.639
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Azerbaijan,AZE,14018.6,13114.2,11600.3,6917.6,2367.6,2418.2,2103.3,2016.5,2206,2600.3,2590.6,2927.3,2930.1,2934,3015.8,3859,4850.9,6098.8,7224.8,7440.5,7353.4,6990.3,7109.7,7280.5,7111.1,6938.2,6797.6,6465.8,6789.6,7166
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bahrain,BHR,2292.7,2221.5,2404.9,2522.8,2545.9,2567.5,2604.3,2755.2,2844,2887.5,2942.5,2998.4,3072,3136.1,3116.5,3361.6,3472,3581.8,3737,3749.5,3866.9,3938.2,3829.8,4370.2,4465.3,4436.4,4554,4595,4560.3,4746.6
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bangladesh,BGD,3849.8,3876.9,4112.9,4359.6,4528.9,4727.4,4838.9,4877.8,5069.1,5364.7,5609.2,6040.1,6270.2,6625.6,7009.2,7350.8,7996.8,8427.7,8965.2,9545,10193.5,10255.2,10645.7,11272.3,11507.4,12301.4,13018.1,13155.7,12552.2,12656.9
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Barbados,BRB,65.984,66.687,67.389,68.091,68.794,69.496,71.827,74.158,76.488,78.819,81.15,76.278,71.407,66.536,61.664,56.793,54.626,52.458,50.291,48.323,45.956,45.956,45.956,45.956,45.956,45.956,46.296,46.637,46.977,47.317
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Belarus,BLR,1552.85,1486.587,1520.343,1404.655,1326.672,1285.061,1385.87,1448.289,1398.847,1337.723,1472.957,1452.149,1465.241,1485.718,1530.328,1507.569,1622.703,1791.99,1655.941,1480.534,1592.266,1518.002,1524.116,1497.859,1448.624,1375.876,1364.203,1403.05,1420.298,1430.745
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Belgium,BEL,1575.167,1462.928,1293.273,1321.631,1179.186,1180.855,1192.605,1121.998,1072.605,1054.301,1034.246,1046.285,983.623,975.081,960.293,971.866,966.954,1000.391,1025.144,1048.578,1151.863,1026.149,1037.348,1076.323,987.43,1048.191,1064.158,1053.529,1054.8,1049.971
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.078,78.156,117.233,156.311,195.389,174.693,153.998,133.302,112.607,91.911,92.592,93.273,93.954,94.635
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Benin,BEN,284.8,291.2,297.7,304.3,301.4,302,335.9,345.9,352.4,393.8,361.1,374.1,387.6,398.3,409.6,423,469.6,484.8,498.1,512.9,440,450.3,462.7,514.5,532.1,548.6,576.6,592.7,617.3,648.6
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bhutan,BTN,0.01,0.076,0.142,0.208,0.274,0.34,0.322,0.304,0.286,0.268,0.25,0.285,0.321,0.356,0.391,0.426,0.402,0.377,0.352,0.328,0.303,0.328,0.352,0.377,0.401,0.426,0.428,0.431,0.433,0.436
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bolivia,BOL,4507.7,4786.4,4858.3,4045.2,3420.6,2382.5,2386.5,2861.7,2299,2164,2133,2440.7,2741.3,3065.8,3778.5,4345.2,4553.3,4895.6,5077.5,4521.6,5062,5445.7,6098.2,6824.1,7239.2,7130.6,6948.1,6742.1,6262.2,5655.7
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bosnia and Herzegovina,BIH,2063.55,2043.442,667.883,311.775,255.117,252.308,419.65,600.992,715.433,683.925,690.217,680.658,755.555,801.771,854.143,866.124,902.471,981.51,977.855,981.717,971.063,1036.128,891.848,974.9,880.6,909.7,909.563,882.526,1094.989,1095.552
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Botswana,BWA,144.9,154.7,165.2,171,175.2,174.4,175.6,178.8,178.5,191.2,182.8,193.7,191.1,187.9,169.1,168.3,170.8,171.6,169,166.4,161.6,159.1,157.4,156.5,156.2,156.4,156.1,156,156,156.2
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Brazil,BRA,10709.8,10556.1,10450,10280.7,10537.6,10451.1,11095.1,11748.6,12644.5,13376.5,14438.9,14819.5,16291.9,17005.1,17852.8,19136.9,19546.7,19650.8,20941.5,20282.7,21784.7,22157.8,23215.1,23881.1,25678.8,26336,25835.5,26730.6,26220.3,27391.7
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Brunei Darussalam,BRN,1251.9,1335.2,1416,1498.7,1452.8,1487.5,1451.9,1461.8,1383.4,1532.9,1634,1560.1,1646.1,1742.1,1732.7,1670.8,1870.8,1748.5,1831.5,1632.2,1635.7,1693.2,1648.4,1488.8,1486,1394.8,1386.4,1463,1440.1,1405.6
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Bulgaria,BGR,2671.208,2258.067,2465.896,2466.199,2274.962,2349.181,2340.016,2111.936,1893.541,1565.391,1664.048,1560.947,1614.489,1730.198,1329.893,1383.312,1286.813,1424.29,1447.569,1374.131,1478.507,1761.029,1627.651,1454.907,1449.752,1539.889,1406.564,1417.84,1409.816,1396.492
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Burkina Faso,BFA,334.3,344.2,352.3,366.7,363.8,373.8,339.5,341.8,343.7,207.2,211.8,284.4,309.4,335.9,362.3,388.4,415.7,443.5,469.9,496.7,525.2,551,579.3,595.1,619.7,639.8,723.6,755.2,788.7,814
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Cambodia,KHM,0,0,0,0,0,517.2,532.3,546.4,562.3,574.8,584.7,593.5,600.8,607.7,614.1,620.9,625.2,633.4,639,641.1,646.4,651.1,654.8,658.8,663.7,670.3,674.9,678.2,679.6,683.5
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Cameroon,CMR,3386.5,7505.2,7344.4,6076.1,4721.1,4672.2,4982.6,5014.6,5161,5119.7,5196.3,5078.5,4952.9,4958.7,4773.2,4672.5,4395.6,4195.2,4432.5,4331.5,3963.7,3777.3,3726.8,3971.7,4284.8,4948.6,5031.4,4757.6,4869.8,5043
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Canada,CAN,27781,28835,30422.3,32017.1,33596.5,35395.6,36543.8,37524.6,38759.8,38793.1,39767.9,40266.1,40742.1,41481.7,42155.6,42506.4,44325.4,44723.1,43286.8,41737.4,43170,45056.3,45627.9,47792.6,50574.4,51234.8,53661.1,57136.4,59918.2,59604.3
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Chad,TCD,340.4,333.5,344.9,379.3,373.2,379.9,397.1,372.5,379.9,377,400.1,2040.284,3673.068,918.8,2955.6,2911.5,2752.4,2572.5,2435.1,2281.8,2294.1,2269.1,2213.7,2238.7,2258.8,2893.5,2680.7,2380.5,2557.3,2458.2
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Chile,CHL,1065.8,1088.9,1115.4,1112.4,1153.6,1178.5,1243.4,1320.3,1339.5,1421.3,1498.6,1573.6,1544.1,1550,1595.2,1563.9,1560.2,1435.4,1360.9,1413.4,1536.7,1604.2,1770.4,1839.7,1225.8,1189.9,1256.1,1282.1,1328.6,1348
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,China,CHN,251659,253037.6,254529.2,262391.1,273137.4,299456,295970,296817.8,290407.1,286977.4,296489.6,309020.7,320068.9,362821,409429.2,453065.2,488196.3,522072.9,530519.3,556896.6,602593.8,650374.2,648564.6,669009.9,677932.1,668088.8,621838.4,633777.5,661525.3,682872.5
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Colombia,COL,6420,6209.2,6360.8,6527.4,6857,8092.5,8395.6,8889.9,9684.8,9612.9,9145.9,9114.8,8707,8889.6,8927.5,8964.9,9238.9,9489.7,10121.9,11089.7,12409.8,13954.1,14728.9,15774,15833.7,15634.1,14715.1,14395.1,14396.9,15235.1
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,"Congo, Dem. Rep.",COD,3051.6,3052.1,3076.3,4009.3,4967.2,5038.2,5424.1,5558.6,5402.5,5201.7,5131.9,5381.2,5450.9,5932.6,5737.6,5739.1,5812.5,6221.3,6264.9,6196.6,6223.9,6292.3,5021.6,5370.5,6111.2,6255.3,6392.1,7187.4,6328.7,6340.2
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,"Congo, Rep.",COG,3642.1,3619.3,3851.2,3725.1,3291.9,3625.8,4309.4,4745.4,5528.7,5846.8,6008.9,5704.7,4475.2,4519.5,4795.1,5611,6440.4,5218.4,5391.3,6011.8,6681,6396.1,5943.8,5359.9,5260.3,5056.1,4822.8,5359.7,6711.2,7107.9
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Costa Rica,CRI,69.5,72.25,78.7,78.75,79.7,82.15,82.5,47.65,39.6,40.35,45.1,53.6,62.2,68.8,109.6,129.9,150.341,136.081,128.422,114.962,120.103,109.418,104.134,104.149,97.165,96.38,92.371,91.562,80.552,80.743
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Cote d'Ivoire,CIV,612.1,624,686.9,706.1,726.2,803,1012.5,1092.4,1105.6,1249.8,1262.1,1327.9,1561.3,1372,1619.3,1799.9,1967.9,1925.5,1953.3,1873.9,1994,2164.9,2235.8,2295.8,2215.8,1923.2,1983.4,2093.9,2012.8,2083.6
